
> knowledgehub-frontend@0.1.0 dev
> vite --host 127.0.0.1 --port 5173


  VITE v5.4.21  ready in 160 ms

  ➜  Local:   http://127.0.0.1:5173/
11:37:06 PM [vite] hmr update /src/App.jsx
11:37:09 PM [vite] hmr update /src/App.jsx
11:37:14 PM [vite] hmr update /src/App.jsx
11:37:33 PM [vite] hmr update /src/App.jsx
11:50:42 PM [vite] hmr update /src/App.jsx
11:50:44 PM [vite] hmr update /src/App.jsx
11:52:27 PM [vite] hmr update /src/App.jsx
11:52:29 PM [vite] hmr update /src/App.jsx
11:52:44 PM [vite] hmr update /src/App.jsx
11:53:45 PM [vite] hmr update /src/App.jsx
